"","x"
"lambda_1",2.85496135317705e-06
"g",2.77908372169275
"lambda_2",0.0346
"lambda_3",0.0215
"lambda_4",0.3697
"lambda_5",0.2382
"lambda_6",0.4852
"prev.adeno",0.27
"prop.adeno.sm",0.71
